1,5,7,8,6,2,3,4,9
2,6,8,9,7,3,4,5,1
3,7,9,1,8,4,5,6,2
4,8,1,2,9,5,6,7,3
5,9,2,3,1,6,7,8,4
6,1,3,4,2,7,8,9,5
7,2,4,5,3,8,9,1,6
8,3,5,6,4,9,1,2,7
9,4,6,7,5,1,2,3,8
