5,2,6,4,3,8,7,1
6,3,7,5,4,1,8,2
7,4,8,6,5,2,1,3
8,5,1,7,6,3,2,4
1,6,2,8,7,4,3,5
2,7,3,1,8,5,4,6
3,8,4,2,1,6,5,7
